loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,female_step
5.4799,2.8042402267456055,2.4e-05,0.05500550055005501,25,,,,,,,,,,1525
5.4743,2.9936740398406982,4.9e-05,0.11001100110011001,50,,,,,,,,,,1550
5.419,3.0377471446990967,4.9966209207401114e-05,0.16501650165016502,75,,,,,,,,,,1575
5.428,3.0076441764831543,4.985924689934296e-05,0.22002200220022003,100,,,,,,,,,,1600
5.342,3.2296361923217773,4.967936813693668e-05,0.27502750275027504,125,,,,,,,,,,1625
5.3327,2.488862991333008,4.9427100535585106e-05,0.33003300330033003,150,,,,,,,,,,1650
5.2339,3.0372610092163086,4.910318403962814e-05,0.385038503850385,175,,,,,,,,,,1675
5.2687,3.719174385070801,4.8708568751958516e-05,0.44004400440044006,200,,,,,,,,,,1700
5.2775,3.1652395725250244,4.8244412147206284e-05,0.49504950495049505,225,,,,,,,,,,1725
5.1909,3.315200090408325,4.771207567666634e-05,0.5500550055005501,250,,,,,,,,,,1750
,,,0.5500550055005501,250,5.164555549621582,5.4803,5.839,2.92,,,,,,1750
5.2008,3.432838201522827,4.7113120774927136e-05,0.605060506050605,275,,,,,,,,,,1775
5.1411,3.3225021362304688,4.644930427991407e-05,0.6600660066006601,300,,,,,,,,,,1800
5.1203,3.253140926361084,4.57225732797811e-05,0.7150715071507151,325,,,,,,,,,,1825
5.0964,3.4056081771850586,4.493505940176574e-05,0.77007700770077,350,,,,,,,,,,1850
5.1218,3.181124210357666,4.408907255975907e-05,0.8250825082508251,375,,,,,,,,,,1875
5.0461,2.7906506061553955,4.318709417893033e-05,0.8800880088008801,400,,,,,,,,,,1900
5.0641,3.205188035964966,4.223176991727935e-05,0.935093509350935,425,,,,,,,,,,1925
5.0488,3.4470183849334717,4.1225901905465756e-05,0.9900990099009901,450,,,,,,,,,,1950
4.9738,3.8731586933135986,4.0172440527677e-05,1.044004400440044,475,,,,,,,,,,1975
4.9059,3.4215166568756104,3.9074475767643177e-05,1.099009900990099,500,,,,,,,,,,2000
,,,1.099009900990099,500,4.993470191955566,5.4262,5.897,2.949,,,,,,2000
4.9076,3.0314924716949463,3.793522814518231e-05,1.154015401540154,525,,,,,,,,,,2025
4.9104,3.5614817142486572,3.67580392698609e-05,1.209020902090209,550,,,,,,,,,,2050
4.9269,3.3825249671936035,3.554636203947724e-05,1.2640264026402641,575,,,,,,,,,,2075
4.9513,3.701568126678467,3.4303750512117324e-05,1.319031903190319,600,,,,,,,,,,2100
4.9003,3.8243050575256348,3.303384948149007e-05,1.374037403740374,625,,,,,,,,,,2125
4.8655,3.1673948764801025,3.1740383786119385e-05,1.4290429042904291,650,,,,,,,,,,2150
4.8588,3.2271852493286133,3.0427147383751042e-05,1.484048404840484,675,,,,,,,,,,2175
4.8702,3.1898045539855957,2.909799222302087e-05,1.539053905390539,700,,,,,,,,,,2200
4.8628,3.099087715148926,2.775681694502572e-05,1.5940594059405941,725,,,,,,,,,,2225
4.802,3.350874423980713,2.6407555447937455e-05,1.649064906490649,750,,,,,,,,,,2250
,,,1.649064906490649,750,4.902565002441406,5.3571,5.973,2.987,,,,,,2250
4.8778,3.395914316177368,2.5054165348201742e-05,1.704070407040704,775,,,,,,,,,,2275
4.8128,2.9884984493255615,2.370061637216719e-05,1.7590759075907592,800,,,,,,,,,,2300
4.8301,2.9628756046295166,2.235087871219394e-05,1.814081408140814,825,,,,,,,,,,2325
4.8401,2.776080369949341,2.1008911381395478e-05,1.869086908690869,850,,,,,,,,,,2350
4.8741,3.658215284347534,1.973158718720991e-05,1.9240924092409242,875,,,,,,,,,,2375
4.8867,3.213961362838745,1.8416236125271646e-05,1.979097909790979,900,,,,,,,,,,2400
4.7522,3.4028422832489014,1.7120196377145673e-05,2.033003300330033,925,,,,,,,,,,2425
4.7592,3.1956522464752197,1.5847269450717993e-05,2.088008800880088,950,,,,,,,,,,2450
4.7155,3.648887872695923,1.4601189059986257e-05,2.143014301430143,975,,,,,,,,,,2475
4.7486,2.947549819946289,1.3385610173433325e-05,2.198019801980198,1000,,,,,,,,,,2500
,,,2.198019801980198,1000,4.853334426879883,5.4075,5.918,2.959,,,,,,2500
4.7134,2.7997231483459473,1.2204098293374983e-05,2.253025302530253,1025,,,,,,,,,,2525
4.6731,3.521423101425171,1.1060118997727276e-05,2.308030803080308,1050,,,,,,,,,,2550
4.7495,2.9786782264709473,9.957027774869388e-06,2.363036303630363,1075,,,,,,,,,,2575
4.7245,3.091158151626587,8.898060181418119e-06,2.418041804180418,1100,,,,,,,,,,2600
4.7405,3.1767730712890625,7.886322351782783e-06,2.473047304730473,1125,,,,,,,,,,2625
4.6827,3.3164889812469482,6.924781887337864e-06,2.5280528052805282,1150,,,,,,,,,,2650
4.6937,3.0653090476989746,6.016259151936837e-06,2.583058305830583,1175,,,,,,,,,,2675
4.7554,3.5448200702667236,5.163418999299052e-06,2.638063806380638,1200,,,,,,,,,,2700
4.6796,2.7685468196868896,4.368762956534639e-06,2.693069306930693,1225,,,,,,,,,,2725
4.7313,2.903048515319824,3.634621886734488e-06,2.748074807480748,1250,,,,,,,,,,2750
,,,2.748074807480748,1250,4.832920074462891,5.3392,5.993,2.997,,,,,,2750
4.69,2.8684613704681396,2.9631491521471682e-06,2.803080308030803,1275,,,,,,,,,,2775
4.7377,3.3601248264312744,2.3563142979964647e-06,2.8580858085808583,1300,,,,,,,,,,2800
4.6986,3.191634178161621,1.815897275465886e-06,2.913091309130913,1325,,,,,,,,,,2825
4.7304,3.255153179168701,1.3434832207951637e-06,2.968096809680968,1350,,,,,,,,,,2850
4.7395,2.8316469192504883,9.404578058025082e-07,3.022002200220022,1375,,,,,,,,,,2875
4.6396,3.136401653289795,6.080031734704756e-07,3.077007700770077,1400,,,,,,,,,,2900
4.6657,3.5710372924804688,3.470944705168816e-07,3.132013201320132,1425,,,,,,,,,,2925
4.6694,2.717360019683838,1.584969871214731e-07,3.187018701870187,1450,,,,,,,,,,2950
4.6548,2.9042837619781494,4.2763912197965606e-08,3.242024202420242,1475,,,,,,,,,,2975
4.7003,2.810199499130249,2.3471079566572683e-10,3.297029702970297,1500,,,,,,,,,,3000
,,,3.297029702970297,1500,4.825935363769531,5.6085,5.706,2.853,,,,,,3000
,,,3.297029702970297,1500,,,,,4821.6896,2.489,0.311,2.327567035419648e+16,4.91980696105957,3000
